latitude,longitude,subregion
28.03389,1.659626,North Africa
-13.1339,27.84933,Southern Africa
21.52176,-77.78117,Caribbean
13.79419,-88.89653,Central America
-35.67515,-71.54297,South America
40.1431,47.57693,Central Asia and Transcaucasian countries
22.19874,113.54387,East and South-East Asia
30.37532,69.34512,Near and Middle East /South-West Asia
20.59368,78.96288,South Asia
61.52401,105.31876,East Europe
42.73388,25.48583,Southeast Europe
56.26392,9.501785,West & Central Europe
-40.90056,174.886,Oceania
